id,created_at,updated_at,pushed_at,size,stargazers_count,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,archived,open_issues_count,is_template,web_commit_signoff_required,forks,open_issues,network_count,subscribers_count,language_TypeScript,language_Markdown,language_HTML,language_Python,language_JavaScript,language_C,language_C++,language_Shell,language_MDX,language_Dart,language_Jupyter Notebook,language_Java,language_Go,language_Batchfile,language_C#,language_Rust,language_Dockerfile,language_Vim Script,language_Vue,language_CSS,language_Blade,language_Clojure,language_Zig,language_Scala,language_PHP,language_Assembly,language_Nunjucks,language_Ruby,language_Kotlin,language_Makefile,language_Swift,language_Julia,language_Astro,language_Roff,language_Lua,language_Haskell,language_Svelte,language_TeX,language_V,language_PowerShell,language_Objective-C,language_LLVM,language_Jinja,language_SCSS,language_Elixir,language_Cuda
24195339,1411056721,1747912603,1747885394,541255,97774,1,1,1,0,0,1,26215,0,1570,0,0,26215,1570,26215,3003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15634981,1388851536,1747911474,1747836585,1549819,97341,1,1,1,0,0,0,22421,0,15520,0,0,22421,15520,22421,1497,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193215554,1561195461,1747913052,1747911374,216042,97270,1,0,1,0,1,0,26765,0,822,0,0,26765,822,26765,626,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908531752,1735206760,1747912299,1744163440,1764,97023,1,1,1,0,0,0,15780,0,82,0,0,15780,82,15780,740,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32484381,1426712786,1747913085,1747841009,8664,96588,0,0,1,0,1,0,10450,0,16,0,0,10450,16,10450,1658,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23083156,1408389114,1747912519,1747912511,688152,95697,1,1,1,0,0,1,32569,0,1731,0,1,32569,1731,32569,1336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701547123,1696630107,1747912339,1747911490,215144,95665,1,0,1,1,0,1,12340,0,220,0,0,12340,220,12340,443,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34526884,1429889844,1747910759,1747909253,223034,94700,1,1,1,1,1,1,52390,0,1308,0,1,52390,1308,52390,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48378947,1450711499,1747912767,1747625975,30401,94168,1,1,1,0,0,0,14044,0,63,0,0,14044,63,14044,1578,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157616880,1542232857,1747912390,1747872732,868725,93887,1,0,1,0,1,0,3531,0,309,0,0,3531,309,3531,1937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15204860,1387117901,1747912798,1746384338,230832,93279,1,0,1,0,0,0,5954,0,1,0,0,5954,1,5954,3147,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74791366,1480112741,1747907876,1722237877,520,92952,1,1,1,1,0,0,12421,0,109,0,0,12421,109,12421,1751,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
